Row,Column,Anomaly Message,Anomaly Score
25,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
26,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
27,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
28,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
29,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
31,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
32,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
33,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
34,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
35,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
36,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
38,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
39,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
40,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
41,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
43,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
44,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
45,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
46,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
47,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
48,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
49,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
50,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
51,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
52,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
54,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
55,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
56,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
57,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
58,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
59,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
60,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
61,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
62,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
64,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
65,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
66,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
67,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
69,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
70,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
72,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
73,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
76,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
77,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
79,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
80,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
81,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
82,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
84,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
85,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
87,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
88,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
89,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
90,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
91,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
92,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
93,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
94,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
95,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
97,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
98,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
99,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
100,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
101,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
102,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
103,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
104,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
105,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
107,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
108,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
109,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
110,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
111,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
112,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
113,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
114,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
115,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
116,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
118,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
121,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
122,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
123,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
125,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
126,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
127,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
128,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
129,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
130,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
131,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
132,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
133,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
134,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
136,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
137,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
138,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
140,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
141,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
142,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
143,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
144,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
145,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
146,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
147,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
149,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
150,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
151,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
153,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
155,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
156,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
157,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
158,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
159,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
160,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
161,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
162,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
163,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
164,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
165,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
167,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
168,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
169,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
170,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
171,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
172,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
173,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
174,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
176,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
177,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
178,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
179,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
180,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
183,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
188,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
189,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
190,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
191,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
192,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
194,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
195,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
196,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
198,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
199,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
201,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
202,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
203,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
204,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
205,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
206,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
207,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
208,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
209,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
210,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
211,Country,"Invalid data in 'Country'. Expected: Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for ""domicile""). with allowed values Use the 2 letter Country Code22.",1
